,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
50,USGS,02085070,2018-11-07 12:15,EST,242,P,2.81,P
51,USGS,02085070,2018-11-07 12:30,EST,242,P,2.81,P
52,USGS,02085070,2018-11-07 12:45,EST,239,P,2.80,P
53,USGS,02085070,2018-11-07 13:00,EST,239,P,2.80,P
54,USGS,02085070,2018-11-07 13:15,EST,242,P,2.81,P
55,USGS,02085070,2018-11-07 13:30,EST,239,P,2.80,P
56,USGS,02085070,2018-11-07 13:45,EST,233,P,2.78,P
57,USGS,02085070,2018-11-07 14:00,EST,233,P,2.78,P
58,USGS,02085070,2018-11-07 14:15,EST,233,P,2.78,P
59,USGS,02085070,2018-11-07 14:30,EST,231,P,2.77,P
60,USGS,02085070,2018-11-07 14:45,EST,231,P,2.77,P
61,USGS,02085070,2018-11-07 15:00,EST,231,P,2.77,P
62,USGS,02085070,2018-11-07 15:15,EST,228,P,2.76,P
63,USGS,02085070,2018-11-07 15:30,EST,228,P,2.76,P
64,USGS,02085070,2018-11-07 15:45,EST,225,P,2.75,P
65,USGS,02085070,2018-11-07 16:00,EST,225,P,2.75,P
66,USGS,02085070,2018-11-07 16:15,EST,222,P,2.74,P
67,USGS,02085070,2018-11-07 16:30,EST,222,P,2.74,P
68,USGS,02085070,2018-11-07 16:45,EST,220,P,2.73,P
69,USGS,02085070,2018-11-07 17:00,EST,220,P,2.73,P
70,USGS,02085070,2018-11-07 17:15,EST,220,P,2.73,P
71,USGS,02085070,2018-11-07 17:30,EST,217,P,2.72,P
72,USGS,02085070,2018-11-07 17:45,EST,217,P,2.72,P
73,USGS,02085070,2018-11-07 18:00,EST,214,P,2.71,P
74,USGS,02085070,2018-11-07 18:15,EST,214,P,2.71,P
75,USGS,02085070,2018-11-07 18:30,EST,212,P,2.70,P
76,USGS,02085070,2018-11-07 18:45,EST,212,P,2.70,P
77,USGS,02085070,2018-11-07 19:00,EST,212,P,2.70,P
78,USGS,02085070,2018-11-07 19:15,EST,212,P,2.70,P
79,USGS,02085070,2018-11-07 19:30,EST,209,P,2.69,P
80,USGS,02085070,2018-11-07 19:45,EST,209,P,2.69,P
81,USGS,02085070,2018-11-07 20:00,EST,207,P,2.68,P
82,USGS,02085070,2018-11-07 20:15,EST,207,P,2.68,P
83,USGS,02085070,2018-11-07 20:30,EST,207,P,2.68,P
84,USGS,02085070,2018-11-07 20:45,EST,204,P,2.67,P
85,USGS,02085070,2018-11-07 21:00,EST,204,P,2.67,P
86,USGS,02085070,2018-11-07 21:15,EST,202,P,2.66,P
87,USGS,02085070,2018-11-07 21:30,EST,202,P,2.66,P
88,USGS,02085070,2018-11-07 21:45,EST,202,P,2.66,P
89,USGS,02085070,2018-11-07 22:00,EST,199,P,2.65,P
90,USGS,02085070,2018-11-07 22:15,EST,199,P,2.65,P
91,USGS,02085070,2018-11-07 22:30,EST,197,P,2.64,P
92,USGS,02085070,2018-11-07 22:45,EST,197,P,2.64,P
93,USGS,02085070,2018-11-07 23:00,EST,197,P,2.64,P
94,USGS,02085070,2018-11-07 23:15,EST,194,P,2.63,P
95,USGS,02085070,2018-11-07 23:30,EST,194,P,2.63,P
96,USGS,02085070,2018-11-07 23:45,EST,192,P,2.62,P
97,USGS,02085070,2018-11-08 00:00,EST,192,P,2.62,P
98,USGS,02085070,2018-11-08 00:15,EST,192,P,2.62,P
99,USGS,02085070,2018-11-08 00:30,EST,192,P,2.62,P
100,USGS,02085070,2018-11-08 00:45,EST,189,P,2.61,P
101,USGS,02085070,2018-11-08 01:00,EST,189,P,2.61,P
102,USGS,02085070,2018-11-08 01:15,EST,187,P,2.60,P
103,USGS,02085070,2018-11-08 01:30,EST,187,P,2.60,P
104,USGS,02085070,2018-11-08 01:45,EST,187,P,2.60,P
105,USGS,02085070,2018-11-08 02:00,EST,187,P,2.60,P
106,USGS,02085070,2018-11-08 02:15,EST,187,P,2.60,P
107,USGS,02085070,2018-11-08 02:30,EST,185,P,2.59,P
108,USGS,02085070,2018-11-08 02:45,EST,185,P,2.59,P
109,USGS,02085070,2018-11-08 03:00,EST,182,P,2.58,P
110,USGS,02085070,2018-11-08 03:15,EST,185,P,2.59,P
111,USGS,02085070,2018-11-08 03:30,EST,182,P,2.58,P
112,USGS,02085070,2018-11-08 03:45,EST,182,P,2.58,P
113,USGS,02085070,2018-11-08 04:00,EST,180,P,2.57,P
114,USGS,02085070,2018-11-08 04:15,EST,180,P,2.57,P
115,USGS,02085070,2018-11-08 04:30,EST,180,P,2.57,P
116,USGS,02085070,2018-11-08 04:45,EST,180,P,2.57,P
117,USGS,02085070,2018-11-08 05:00,EST,180,P,2.57,P
118,USGS,02085070,2018-11-08 05:15,EST,178,P,2.56,P
119,USGS,02085070,2018-11-08 05:30,EST,178,P,2.56,P
120,USGS,02085070,2018-11-08 05:45,EST,178,P,2.56,P
121,USGS,02085070,2018-11-08 06:00,EST,178,P,2.56,P
122,USGS,02085070,2018-11-08 06:15,EST,176,P,2.55,P
123,USGS,02085070,2018-11-08 06:30,EST,176,P,2.55,P
124,USGS,02085070,2018-11-08 06:45,EST,176,P,2.55,P
125,USGS,02085070,2018-11-08 07:00,EST,173,P,2.54,P
126,USGS,02085070,2018-11-08 07:15,EST,173,P,2.54,P
127,USGS,02085070,2018-11-08 07:30,EST,173,P,2.54,P
128,USGS,02085070,2018-11-08 07:45,EST,173,P,2.54,P
129,USGS,02085070,2018-11-08 08:00,EST,173,P,2.54,P
130,USGS,02085070,2018-11-08 08:15,EST,173,P,2.54,P
131,USGS,02085070,2018-11-08 08:30,EST,173,P,2.54,P
132,USGS,02085070,2018-11-08 08:45,EST,171,P,2.53,P
133,USGS,02085070,2018-11-08 09:00,EST,171,P,2.53,P
134,USGS,02085070,2018-11-08 09:15,EST,171,P,2.53,P
135,USGS,02085070,2018-11-08 09:30,EST,169,P,2.52,P
136,USGS,02085070,2018-11-08 09:45,EST,169,P,2.52,P
137,USGS,02085070,2018-11-08 10:00,EST,169,P,2.52,P
138,USGS,02085070,2018-11-08 10:15,EST,169,P,2.52,P
139,USGS,02085070,2018-11-08 10:30,EST,169,P,2.52,P
140,USGS,02085070,2018-11-08 10:45,EST,167,P,2.51,P
141,USGS,02085070,2018-11-08 11:00,EST,167,P,2.51,P
142,USGS,02085070,2018-11-08 11:15,EST,167,P,2.51,P
143,USGS,02085070,2018-11-08 11:30,EST,167,P,2.51,P
144,USGS,02085070,2018-11-08 11:45,EST,165,P,2.50,P
145,USGS,02085070,2018-11-08 12:00,EST,165,P,2.50,P
146,USGS,02085070,2018-11-08 12:15,EST,165,P,2.50,P
147,USGS,02085070,2018-11-08 12:30,EST,165,P,2.50,P
148,USGS,02085070,2018-11-08 12:45,EST,165,P,2.50,P
149,USGS,02085070,2018-11-08 13:00,EST,163,P,2.49,P
150,USGS,02085070,2018-11-08 13:15,EST,163,P,2.49,P
151,USGS,02085070,2018-11-08 13:30,EST,163,P,2.49,P
152,USGS,02085070,2018-11-08 13:45,EST,160,P,2.48,P
153,USGS,02085070,2018-11-08 14:00,EST,160,P,2.48,P
154,USGS,02085070,2018-11-08 14:15,EST,160,P,2.48,P
155,USGS,02085070,2018-11-08 14:30,EST,160,P,2.48,P
156,USGS,02085070,2018-11-08 14:45,EST,158,P,2.47,P
157,USGS,02085070,2018-11-08 15:00,EST,160,P,2.48,P
158,USGS,02085070,2018-11-08 15:15,EST,158,P,2.47,P
159,USGS,02085070,2018-11-08 15:30,EST,158,P,2.47,P
160,USGS,02085070,2018-11-08 15:45,EST,158,P,2.47,P
161,USGS,02085070,2018-11-08 16:00,EST,156,P,2.46,P
162,USGS,02085070,2018-11-08 16:15,EST,158,P,2.47,P
